BlobID,Compound Name,Description,Group Name,Constellation Name,Inclusion,LRI I,Library RI,Library ID,Library Name,Library NIST ID,Library Match Factor,Library Reverse Match Factor,Library Probability,Review Status,Internal Standard,Retention I (min),Retention II (sec),Peak Value,Volume,Quantifier(1),Quantifier(2),Quantifier Response(1),Quantifier Response(2),Volume Ratio,Library Formula,Library Molecular Weight
750,"Hexadecanoic acid, ethyl ester",,lib,,true,2024.4274809160304,1993.0,57965,mainlib,233204,777,844,66.55999755859375,,0,51.146323750415604,0.3715098507075281,77.9583125677309,1709.1941334668254,,,0.0,0.0,0.0,C18H36O2,284
877,"Octadecanal, 2-bromo-",,lib,,true,2497.297297297297,,7651,mainlib,36546,718,727,39.65999984741211,,0,62.52914478267251,0.6914211110390107,40.608117224503076,1704.2777687479065,,,0.0,0.0,0.0,C18H35BrO,346
1148,"4,8,13-Cyclotetradecatriene-1,3-diol, 1,5,9-trimethyl-12-(1-methylethyl)-",,lib,oil,true,2826.8041237113393,,49834,mainlib,42995,743,811,13.640000343322754,,0,69.34308263243183,0.4127887230083646,18.3432611082535,1686.231069622576,,,0.0,0.0,0.0,C20H34O2,306
898,17-Pentatriacontene,,lib,oil,true,2157.2519083969464,,24490,mainlib,233160,780,780,30.15999984741211,,0,54.572986137288794,0.23735351572980964,38.841948375326865,1679.1993142827087,,,0.0,0.0,0.0,C35H70,490
841,"Tricyclo[9.2.2.2(4,7)]heptadeca-1(14),2,4(17),5,7(16),11(15),12-heptaene",,lib,,true,2210.0,,195984,mainlib,202224,629,776,10.1899995803833,,0,55.91214155284843,0.6914211110390107,47.98927587282378,1669.7024451267516,,,0.0,0.0,0.0,C17H16,220
803,9-Hexadecenoic acid,,lib,,true,1931.9444444444446,1942.0,19244,mainlib,43703,738,758,17.219999313354492,,0,48.586173691257486,0.7533394194902654,55.89572371105896,1655.6319406896346,,,0.0,0.0,0.0,C16H30O2,254
787,"1,4-Hexadien-3-one, 5-methyl-1-[2,6,6-trimethyl-2,4-cyclohexadien-1-yl]-",,lib,,true,2386.6666666666665,,193446,mainlib,132127,625,716,19.989999771118164,,0,60.08715549547553,0.722380265264638,59.6916540733655,1654.395325833495,,,0.0,0.0,0.0,C16H22O,230
942,"4-Azido-2-nitrobutyric acid, 2,6-di-t-butyl-4-methoxyphenyl ester",,lib,,true,2250.0,,8018,mainlib,188525,682,691,26.040000915527344,,0,56.85742772853759,0.9081351906184021,33.19129672693089,1652.2471959836785,,,0.0,0.0,0.0,C19H28N4O5,392
724,"Eicosane, 7-hexyl-",,lib,oil,true,2208.333333333333,,24308,mainlib,16328,848,854,12.520000457763672,,0,55.87275462886138,0.2063943615041823,93.60228478361387,1643.994098196963,,,0.0,0.0,0.0,C26H54,366
1075,"Acetamide, N-[2-(3-ethyl-1-methyl-9H-carbazol-2-yl)ethyl]-N-methyl-",,lib,,true,2120.6106870229005,,197149,mainlib,48187,686,725,24.649999618530273,,0,53.62769996159964,0.8358971640919383,21.809455336537212,1633.829261072484,,,0.0,0.0,0.0,C20H24N2O,308
