BlobID,Compound.Name,Library.Name,Compound.Name_ES,Library.Match.Factor_ES,Library.Reverse.Match.Factor_ES,LRI.I,Library.RI_ES,Compound.Name_NISTmain,Library.Match.Factor_NISTmain,Library.Reverse.Match.Factor_NISTmain,Library.RI_NISTmain,Library.Formula_NISTmain,Formula_Underivitized_forMod,Cstar_Cat,Library.Molecular.Weight_NISTmain,Model_Quant,Model_Properties,Notes
1474,20200803_0949_blob_1474_,caice_ssa_final_0805_0949,pyrene,0,670,2658.252427,2170,"cyclopent[hi]aceanthrylene-2,7-dione, 1,6-dihydro-",631,830,,C18H10O2,,,258,TRUE,TRUE,
1295,20200803_0949_blob_1295_,caice_ssa_final_0805_0949,pyrene,0,558,2474.545455,2170,"Cyclobuta[a]dibenzo[c,f]cycloheptadien-1-ol-7-one",561,569,,C17H14O2,,,250,TRUE,TRUE,
1118,20200803_1535_blob_1118_,caice_ssa_final_0803_1535,Pyrocatechoic acid,64,324,1856.944444,1846,"Curan-17-oic acid, 19-(acetyloxy)-2,16-didehydro-20-hydroxy-, methyl ester, (19S)-",612,650,,C22H26N2O5,,,398,TRUE,TRUE,
533,20200803_1535_blob_533_,caice_ssa_final_0803_1535,sinapinaldehyde,402,453,2029.007634,2033,"Octasiloxane, 1,1,3,3,5,5,7,7,9,9,11,11,13,13,15,15-hexadecamethyl-",686,698,,C16H50O7Si8,,,578,TRUE,TRUE,
1141,20200803_1535_blob_1141_,caice_ssa_final_0803_1535,sinapinaldehyde,421,468,2027.480916,2033,"Azuleno[4,5-b]furan-2(3H)-one, 9a-[(acetyloxy)methyl]decahydro-6a,9-dihydroxy-6-methyl-3-methylene-, [3aS-(3aα,6ß,6aα,9ß,9aß,9bα)]-",674,698,,C17H24O6,,,324,TRUE,TRUE,
1154,20200803_1535_blob_1154_,caice_ssa_final_0803_1535,sinapinaldehyde,472,485,2029.007634,2033,α-N-Normethadol,668,683,,C20H27NO,,,297,TRUE,TRUE,
904,20200803_1535_blob_904_,caice_ssa_final_0803_1535,sinapinaldehyde,450,453,2035.114504,2033,"18,19-Secoyohimban-19-oic acid, 16,17,20,21-tetradehydro-16-(hydroxymethyl)-, methyl ester, (15ß,16E)-",665,694,,C21H24N2O3,,,352,TRUE,TRUE,
1198,20200803_1535_blob_1198_,caice_ssa_final_0803_1535,sinapinaldehyde,315,465,2041.221374,2033,"Methyl glycocholate, 3TMS derivative",662,680,,C36H69NO6Si3,,,695,TRUE,TRUE,
845,20200803_1535_blob_845_oil,caice_ssa_final_0803_1535,squalene,0,699,2671.84466,2867,"Tricyclo[20.8.0.0(7,16)]triacontane, 1(22),7(16)-diepoxy-",802,839,,C30H52O2,,,444,TRUE,TRUE,RI cant be confirmed
756,20200803_1535_blob_756_oil,caice_ssa_final_0803_1535,squalene,0,693,2623.300971,2867,"Tricyclo[20.8.0.0(7,16)]triacontane, 1(22),7(16)-diepoxy-",794,830,,C30H52O2,,,444,TRUE,TRUE,RI cant be confirmed
896,20200803_1535_blob_896_oil,caice_ssa_final_0803_1535,squalene,0,705,2697.087379,2867,"Tricyclo[20.8.0.0(7,16)]triacontane, 1(22),7(16)-diepoxy-",794,831,,C30H52O2,,,444,TRUE,TRUE,RI cant be confirmed
823,20200803_1535_blob_823_oil,caice_ssa_final_0803_1535,squalene,0,681,2664.07767,2867,"Tricyclo[20.8.0.0(7,16)]triacontane, 1(22),7(16)-diepoxy-",788,822,,C30H52O2,,,444,TRUE,TRUE,RI cant be confirmed
854,20200803_1535_blob_854_oil,caice_ssa_final_0803_1535,squalene,0,693,2679.61165,2867,"Tricyclo[20.8.0.0(7,16)]triacontane, 1(22),7(16)-diepoxy-",788,827,,C30H52O2,,,444,TRUE,TRUE,RI cant be confirmed
913,20200803_1535_blob_913_oil,caice_ssa_final_0803_1535,squalene,0,695,2702.912621,2867,"Tricyclo[20.8.0.0(7,16)]triacontane, 1(22),7(16)-diepoxy-",782,821,,C30H52O2,,,444,TRUE,TRUE,RI cant be confirmed
1054,20200803_1535_blob_1054_,caice_ssa_final_0803_1535,squalene,0,660,2958.762887,2867,"17.alfa.,21ß-28,30-Bisnorhopane",775,786,,C28H48,,,384,TRUE,TRUE,RI cant be confirmed
707,20200803_1535_blob_707_oil,caice_ssa_final_0803_1535,squalene,0,661,2578.378378,2867,"E,E,Z-1,3,12-Nonadecatriene-5,14-diol",771,807,,C19H34O2,,,294,TRUE,TRUE,RI cant be confirmed
1055,20200803_1535_blob_1055_oil,caice_ssa_final_0803_1535,squalene,0,694,2757.281553,2867,"Tricyclo[20.8.0.0(7,16)]triacontane, 1(22),7(16)-diepoxy-",771,816,,C30H52O2,,,444,TRUE,TRUE,RI cant be confirmed
949,20200803_1535_blob_949_oil,caice_ssa_final_0803_1535,squalene,0,717,2724.271845,2867,"Tricyclo[20.8.0.0(7,16)]triacontane, 1(22),7(16)-diepoxy-",770,818,,C30H52O2,,,444,TRUE,TRUE,
775,20200803_1535_blob_775_oil,caice_ssa_final_0803_1535,squalene,0,691,2634.951456,2867,"Tricyclo[20.8.0.0(7,16)]triacontane, 1(22),7(16)-diepoxy-",768,800,,C30H52O2,,,444,TRUE,TRUE,
726,20200803_1535_blob_726_oil,caice_ssa_final_0803_1535,squalene,0,665,2592.792793,2867,"Tricyclo[20.8.0.0(7,16)]triacontane, 1(22),7(16)-diepoxy-",767,794,,C30H52O2,,,444,TRUE,TRUE,
1019,20200803_1535_blob_1019_oil,caice_ssa_final_0803_1535,squalene,0,699,2743.68932,2867,"Tricyclo[20.8.0.0(7,16)]triacontane, 1(22),7(16)-diepoxy-",767,810,,C30H52O2,,,444,TRUE,TRUE,
905,20200803_1535_blob_905_,caice_ssa_final_0803_1535,squalene,0,690,2619.417476,2867,"Tricyclo[20.8.0.0(7,16)]triacontane, 1(22),7(16)-diepoxy-",758,813,,C30H52O2,,,444,TRUE,TRUE,
1206,20200803_1535_blob_1206_oil,caice_ssa_final_0803_1535,squalene,52,693,2849.484536,2867,"Tricyclo[20.8.0.0(7,16)]triacontane, 1(22),7(16)-diepoxy-",751,798,,C30H52O2,,,444,TRUE,TRUE,
1252,20200803_1535_blob_1252_oil,caice_ssa_final_0803_1535,squalene,426,685,2876.28866,2867,"1,1,6-trimethyl-3-methylene-2-(3,6,9,13-tetramethyl-6-ethenye-10,14-dimethylene-pentadec-4-enyl)cyclohexane",749,835,,C33H56,,,452,TRUE,TRUE,
885,20200803_1535_blob_885_oil,caice_ssa_final_0803_1535,squalene,0,694,2691.262136,2867,"2,2,4-Trimethyl-3-(3,8,12,16-tetramethyl-heptadeca-3,7,11,15-tetraenyl)-cyclohexanol",743,763,,C30H52O,,,428,TRUE,TRUE,
